trial,WSS@95,RRF@10
1,91.27714697451978,100
2,91.63649896273775,100
3,91.60508020966951,100
4,91.52849699906568,100
5,91.42049503539361,100
6,91.38122159405832,100
7,91.19270907564889,100
8,91.31838408792184,100
9,91.48136886946332,100
10,91.6109712258698,100
11,91.21234579631654,100
12,91.08470711197683,100
13,91.42442237952714,100
14,91.38711261025861,100
15,91.35569385719037,100
16,90.98259616450505,100
17,91.51475129459833,100
18,91.21038212424978,100
19,91.22412782871713,100
20,91.26929228625272,100
21,91.44405910019479,100
22,91.50886027839803,100
23,91.33802080858949,100
24,91.12987156951242,100
25,91.49315090186391,100
26,91.05328835890859,100
27,91.18878173151536,100
28,91.62078958620363,100
29,91.17896337118154,100
30,91.37729424992479,100
31,91.31838408792184,100
32,91.52064231079862,100
33,91.15736297844713,100
34,91.26536494211919,100
35,91.46173214879568,100
36,91.17307235498124,100
37,91.34587549685655,100
38,91.3714032337245,100
39,91.20449110804948,100
40,91.77395600741129,100
41,91.48136886946332,100
42,91.3655122175242,100
43,91.27911064658655,100
44,91.30071103932096,100
45,91.3321297923892,100
46,91.54027903146627,100
47,91.32427510412214,100
48,91.30267471138772,100
49,91.75039194261011,100
50,91.26929228625272,100
51,91.76413764707746,100
52,91.39103995439214,100
53,91.11612586504506,100
54,91.30463838345449,100
55,91.19270907564889,100
56,91.12987156951242,100
57,91.18289071531507,100
58,91.23983720525125,100
59,91.30660205552125,100
60,91.74253725434305,100
61,91.12790789744565,100
62,91.320347759988607,100
63,91.32427510412214,100
